description,price,image,market
Toallitas Bialcohol 15 Bialcohol Paq 15 Uni,"$686,84",https://static.cotodigital3.com.ar/sitios/fotos/medium/00473300/00473364.jpg?3.0.165,Coto
Apósitos Adhesivos CURITAS Tela Elástica Para Todo Tipo De Piel X 10 Unidades,"$458,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00532300/00532344.jpg?3.0.165,Coto
Protectores Diarios Ultra Flexible Kotex 60 Uni,"$2.795,44",https://static.cotodigital3.com.ar/sitios/fotos/medium/00546700/00546714.jpg?3.0.165,Coto
Toalla Humeda Triple Protecc Huggies Paq 96 Uni,"$4.673,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00514900/00514972.jpg?3.0.165,Coto
Toallas Femeninas Normal Calipso 16u,"$780,38",https://static.cotodigital3.com.ar/sitios/fotos/medium/00571800/00571832.jpg?3.0.165,Coto
Toallas Humedas ESPADOL Antibacteriales Fwp 10 Un,"$491,41",https://static.cotodigital3.com.ar/sitios/fotos/medium/00255100/00255118.jpg?3.0.165,Coto
Bolsa Hermetica Multiuso Extra Chica Separata 20u. ,"$1.392,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00562900/00562923.jpg?3.0.165,Coto
Protectores Diario Multiestilo NOSOTRAS 20 Uni,"$992,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00531600/00531675.jpg?3.0.165,Coto
Papel Glace Flúor X 5 Hojas,"$249,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00178800/00178822.jpg?3.0.165,Coto
Crayones FILGO  12 Unidades  ,"$599,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00471800/00471803.jpg?3.0.165,Coto
Protectores Diarios Plus Sensitive ALWAYS 40 Uni,"$1.998,62",https://static.cotodigital3.com.ar/sitios/fotos/medium/00539400/00539424.jpg?3.0.165,Coto
Protectores Diarios Multiestilo Nosotras 60u,"$3.023,76",https://static.cotodigital3.com.ar/sitios/fotos/medium/00571000/00571034.jpg?3.0.165,Coto
Toallitas Desinfectantes AYUDÍN Fresco (Frasco) 65u,"$3.297,59",https://static.cotodigital3.com.ar/sitios/fotos/medium/00505100/00505154.jpg?3.0.165,Coto
Te Verde Y Higo Taragui 20u.,"$1.015,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00568400/00568473.jpg?3.0.165,Coto
Te Negro Limón Miel Y Jengibre Taragui 20u.,"$1.015,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00568400/00568472.jpg?3.0.165,Coto
Te Negro Avellanas Taragui 20u.,"$1.015,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00568400/00568474.jpg?3.0.165,Coto
Folios   LUMA Escolar 10 Unidades,"$509,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00179400/00179422.jpg?3.0.165,Coto
Protectores Diarios ALWAYS Con Perfume Plus 40 Un,"$2.038,40",https://static.cotodigital3.com.ar/sitios/fotos/medium/00539400/00539427.jpg?3.0.165,Coto
Protector TENA Discreet Largo Sin Alas X50,"$2.566,97",https://static.cotodigital3.com.ar/sitios/fotos/medium/00524700/00524771.jpg?3.0.165,Coto
Protectores Diarios Respirable Nosotras 15u,"$770,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00571000/00571042.jpg?3.0.165,Coto
Cinta Transparente Scotch 12 Mm 20m 1u,"$1.029,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00459200/00459264.jpg?3.0.165,Coto
Protectores Diarios Multiestilo Nosotras 100u,"$5.193,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00571000/00571017.jpg?3.0.165,Coto
Bolsa De Residuos Pequeña 45x60 Flowi 20u.,"$1.046,41",https://static.cotodigital3.com.ar/sitios/fotos/medium/00562200/00562287.jpg?3.0.165,Coto
Sobre Papel Manila Medoro 162x229mm X 10 ,"$529,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00524500/00524562.jpg?3.0.165,Coto
Protectores Diarios ALWAYS Respirable Sin Perfume Plus 40 Un,"$2.117,01",https://static.cotodigital3.com.ar/sitios/fotos/medium/00539400/00539426.jpg?3.0.165,Coto
Lapices De Color SIMBALL Innovation 6 Unidades,"$319,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00525700/00525753.jpg?3.0.165,Coto
Lapices De Color FILGO Mini 12 Unidades,"$639,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00471700/00471794.jpg?3.0.165,Coto
Protectores Diarios Plus Sin Perfume ALWAYS 40 Uni,"$2.137,20",https://static.cotodigital3.com.ar/sitios/fotos/medium/00546900/00546987.jpg?3.0.165,Coto
NEXT Ab Toallitas X 25 Piezas,"$1.342,47",https://static.cotodigital3.com.ar/sitios/fotos/medium/00496400/00496430.jpg?3.0.165,Coto
Apósitos Surtidos CURITAS Transpiel Resistentes Al Agua X 40 Unidades,"$2.147,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00519000/00519020.jpg?3.0.165,Coto
Cinta Scotch Crystal Tape 18 Mm 20 Mtr,"$1.089,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00209700/00209781.jpg?3.0.165,Coto
Cartuchos Tinta Filgo Modelo Europeo Azul Real 6 Unidades,"$329,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00295700/00295782.jpg?3.0.165,Coto
Vaso Descartable Amarillo Cuadrille,"$549,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00480300/00480318.jpg?3.0.165,Coto
Vaso Descartable Rojo Dots,"$549,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00480300/00480317.jpg?3.0.165,Coto
Vaso Descartable Magic Stars ,"$549,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00480300/00480300.jpg?3.0.165,Coto
Apósitos Adhesivos CURITAS Manía Para Todo Tipo De Piel X 20 Unidades,"$1.115,10",https://static.cotodigital3.com.ar/sitios/fotos/medium/00535400/00535432.jpg?3.0.165,Coto
"Precintos Plasticos Negro BLISTER PRAC 100x2,4mm 25u","$1.399,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00174800/00174824.jpg?3.0.165,Coto
Insecticida RAID Contra Mosquitos Tabletas Repuesto 24un,"$1.350,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00505100/00505122.jpg?3.0.165,Coto
Toallitas Hipoalergénicas Para Bebé Johnsons Cabeza A Los Pies X 44 Un.,"$2.496,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00491900/00491925.jpg?3.0.165,Coto
Toalla Humeda Triple Protecc Huggies Paq 48 Uni,"$2.725,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00514900/00514988.jpg?3.0.165,Coto
Bolsas De Polietileno TRASH 45 X 60 Cm 30 U. Multiuso,"$1.708,07",https://static.cotodigital3.com.ar/sitios/fotos/medium/00503100/00503117.jpg?3.0.165,Coto
Precintos Nylon 3.6 X 200 Mm X 100 Und . .,"$5.699,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00103000/00103091.jpg?3.0.165,Coto
Protectores Diarios ALWAYS Respirable Sin Perfume 15 Un,"$869,87",https://static.cotodigital3.com.ar/sitios/fotos/medium/00539400/00539429.jpg?3.0.165,Coto
Protectores Diarios Largos Nosotras 15u,"$882,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00571000/00571016.jpg?3.0.165,Coto
Folios Oficio LUMA 30-06 10 Unidades,"$589,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00166200/00166243.jpg?3.0.165,Coto
Sobre Retrato N1 Medoro 90 Gr X 10 U,"$599,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00524500/00524564.jpg?3.0.165,Coto
Protectores Diarios Sin Perfume Carefree 80u.,"$4.802,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00570200/00570205.jpg?3.0.165,Coto
Sobre Papel Manila Medoro 300x400mm X 10,"$1.219,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00524600/00524672.jpg?3.0.165,Coto
Filtro De Papel Para Cafe Nº2 X 30u,"$1.835,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00241800/00241868.jpg?3.0.165,Coto
Bolsas De Residuos TASK 34 X 38 Cm 20 U. Para Baño Oficia Papeleros Pequeños,"$1.232,46",https://static.cotodigital3.com.ar/sitios/fotos/medium/00470200/00470224.jpg?3.0.165,Coto
Pastillas Para Encendido Humos Cja 1 Uni,"$749,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00488000/00488076.jpg?3.0.165,Coto
Protector TENA Discreet Largo Sin Alas X15,"$937,07",https://static.cotodigital3.com.ar/sitios/fotos/medium/00524700/00524767.jpg?3.0.165,Coto
"3M Cinta De Enmascarar, 36mm X 40m - Caja Precortada","$2.528,85",https://static.cotodigital3.com.ar/sitios/fotos/medium/00456800/00456810.jpg?3.0.165,Coto
Precintos Nylon 4.8 X 160mm X 100u,"$6.399,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00103000/00103093.jpg?3.0.165,Coto
Paños Bebe ESTRELLA Bol 40 Uni,"$2.564,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00009600/00009690.jpg?3.0.165,Coto
"3M Cinta De Enmascarar, 48mm X 40m - Caja Precortada","$3.218,85",https://static.cotodigital3.com.ar/sitios/fotos/medium/00456800/00456811.jpg?3.0.165,Coto
Figazzita Manteca  6 Uni,"$389,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00014100/00014177.jpg?3.0.165,Coto
Protectores Diarios Ultra Flexible KOTEX 20 Uni,"$1.299,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00539900/00539987.jpg?3.0.165,Coto
Protectores Diarios Largos Nosotras 50u,"$3.255,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00571000/00571033.jpg?3.0.165,Coto
Folio A3 PIZZINI 50 Micrones 10 Unidades,"$659,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00067100/00067159.jpg?3.0.165,Coto
Incienso Varilla X 20 Unidades Fragancia Verbena Fresia,"$1.319,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00543100/00543172.jpg?3.0.165,Coto
Incienso Varilla X 20 Unidades Fragancia Sandia Pepino ,"$1.319,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00543100/00543177.jpg?3.0.165,Coto
