description,price,supermercado
Elasticos Sin Metal TAO Gruesos Bsa 8 Uni,"$972,00"
Toalla Femenina Noche Y Dia Siempre Libre 16u,"$1.955,99"
Toallas Femeninas Adapt Plus Noche Y Dia Con Alas Siempre Libre 16u,"$1.955,99"
Toalla Femenina Ultra Fina Suave Siempre Libre 16u,"$1.955,99"
Papel Higienico Fresh Hoja Simple X4 Higienol 12m2,"$1.467,82"
ALWAYS Xtra Diarios Respirable Protectores Diarios 15 Unidades,"$1.837,30"
Toalla Femenina Ultra Suave Con Alas Siempre Libre 16u.,"$1.970,99"
Setx5 Pinches De Copetin Pastel,"$619,90"
Toallas Largas Dia Y Noche Nosotras 16u,"$1.987,19"
Pañal Protect Plus T: P Huggies 50 Uni,"$6.210,97"
Maxisorbetes Polipapel X12 Celeste,"$1.499,99"
Maxisorbetes Polipapel X 12 Unidades Plateados,"$1.499,99"
Maxisorbetes Polipapel X 12 Unidades Iridiscentes,"$1.499,99"
Maxisorbetes Polipapel X 12 Unidades Rosa ,"$1.499,99"
Maxisorbetes Polipapel X 12 Unidades Dorados,"$1.499,99"
Rollo Film Adherente Glow 15 Mtr,"$1.878,36"
Alitas Con Piel X Uni (280 Gr) Refrigerados,"$252,15"
Sacapuntas Maped 3 Unidades,"$379,00"
Cucharita X 3 Mango Marfil Pastel ,"$379,90"
Pack X 10 Velas Magicas Magentas ,"$1.269,00"
Pack X10 Velas Magicas Celestes ,"$1.269,00"
Pack X 10 Velas Magicas Blancas,"$1.269,00"
Tarugo En Pote Transparente Con Tornillo N°6 X 75u,"$9.599,00"
description,price
P.Higienico S/H X 12 Rollo Felpita Paq 36 M2,"$4.610,39"
P.Higienico S/H X 30 Mtr Cristal Del Paq 12 M2,"$1.537,05"
Toalla Femenina Especial Con Alas Kotex 16u.,"$2.084,99"
Elásticos Chau Ouch Colores Tao X 6 Uni,"$797,00"
Elásticos Chau Ouch Negro Tao X 6 Uni,"$797,00"
Bolsa P/Alim Bolzip Doble C Bolzip Bol 8 Uni,"$1.078,90"
Pizzetas De Tomate COTO,"$134,99"
Bolsa Residuo 50 X 70 Task Bsa 10 Uni,"$1.350,66"
Bolsa Residuo Mediana 50x70 Glow 20u,"$2.710,81"
Boligrafo FILGO Stick Varios Colores 10 Unidades,"$1.359,00"
P.Higienico Plus X4 Campanita Paq 20 M2,"$2.721,78"
Cinta Scotch Magic Tape 18 Mm 10m,"$1.369,00"
Toallas Largas Dia Y Noche Nosotras 8u,"$1.102,30"
Bolsa Horno Grandes Glow 10 Uni,"$1.378,24"
Toallitas Femeninas ALWAYS Seca Triple Protección Plus 8 Un,"$1.106,31"
Velas Corta 68 Grm Buenos Dias Paq 4 Uni,"$553,26"
Pañal Caricias De Algodón Estrella Baby Talle P Paq 30 Uni,"$4.191,20"
Plastilina Maped Color'Peps 6 Colores 90 Gr,"$839,00"
Cuchara De Mesa Mango Plastico Blisterx6 . . .,"$839,90"
Toallitas Desmaquillantes NIVEA Micellair Expert A Prueba De Agua X 20 Unidades,"$2.799,99"
Alitas Con Piel X Uni (315 Gr) Refrigerados,"$280,18"
Bolsas De Residuos TASK 50 X 70 Cm 20 U. Multiuso,"$2.809,21"
Huevo Blanco Grand Maple X 30 Uni 30 Uni,"$4.245,00"
"ALWAYS Xtra Doble Protección Suave Toallas Femeninas, 8 Unidades","$1.136,19"
Broche Plástico TASK 12 Uni,"$1.705,02"
Broche Madera TASK 12 Uni,"$1.705,02"
Boligrafo Dolche  Azul 4 Unidades,"$569,00"
Servilletas Papel X 20 Unidades Zorrito,"$2.869,00"
Fieltro Cuadrado Scotch- 16 Unidades,"$2.298,85"
Protector De Goma Tipo Bumper Scotch- 20 Unidades,"$2.873,85"
"Precintos Plasticos Negro BLISTER PRAC 200x4,8mm 25u","$3.599,00"
P.Higienico X4 Rollo 30 M2 Campanita Paq 12 M2,"$1.734,63"
Boligrafo FILGO Stick Varios Colores 4 Unidades,"$579,00"
Boligrafo FILGO Stick Azul 4 Unidades,"$579,00"
Boligrafo FILGO Stick Negro 4 Unidades,"$579,00"
Toallitas Húmedas PAMPERS Limpieza Delicada 48 Un,"$6.983,11"
Toallitas Húmedas PAMPERS Recién Nacido 48 Un,"$6.983,11"
