description,price,image,market,quantity,unit
Aceite de oliva extra virgen Morixe vidrio .,"$ 8.995,00",https://carrefourar.vtexassets.com/arquivos/ids/208455-170-170?v=637636108462700000&width=170&height=170&aspect=true,Carrefour,500.0,cc
Aceite de oliva Cocinero extra virgen pet .,"$ 8.805,00",https://carrefourar.vtexassets.com/arquivos/ids/336036-170-170?v=638218497619230000&width=170&height=170&aspect=true,Carrefour,500.0,cc
Aceto balsámico Casalta clásico pet .,"$ 4.290,00",https://carrefourar.vtexassets.com/arquivos/ids/336039-170-170?v=638218497642330000&width=170&height=170&aspect=true,Carrefour,500.0,cc
Aceto reducción limón Menoyo .,"$ 2.150,00",https://carrefourar.vtexassets.com/arquivos/ids/217090-170-170?v=637697370814470000&width=170&height=170&aspect=true,Carrefour,250.0,cc
Vinagre de manzana Menoyo .,"$ 2.350,00",https://carrefourar.vtexassets.com/arquivos/ids/209176-170-170?v=637643049421900000&width=170&height=170&aspect=true,Carrefour,1.0,l
Aceto balsámico Casalta reducción pet .,"$ 5.885,00",https://carrefourar.vtexassets.com/arquivos/ids/336038-170-170?v=638218497634670000&width=170&height=170&aspect=true,Carrefour,500.0,cc
Vinagre de vino Carrefour classic .,"$ 1.081,00",https://carrefourar.vtexassets.com/arquivos/ids/386672-170-170?v=638318705462400000&width=170&height=170&aspect=true,Carrefour,500.0,cc
Aceite de oliva Lira en lata .,"$ 18.580,00",https://carrefourar.vtexassets.com/arquivos/ids/371182-170-170?v=638300723662670000&width=170&height=170&aspect=true,Carrefour,1.0,l
Aceite de oliva Carrefour extra virgen orgánico botella .,"$ 13.499,10",https://carrefourar.vtexassets.com/arquivos/ids/167077-170-170?v=637467733964770000&width=170&height=170&aspect=true,Carrefour,500.0,cc
Aceite de oliva gourmet Oliovita en lata .,"$ 16.335,00",https://carrefourar.vtexassets.com/arquivos/ids/371235-170-170?v=638300724242600000&width=170&height=170&aspect=true,Carrefour,500.0,cc
Aceto balsámico Cocinero tipo reducción .,"$ 4.750,00",https://carrefourar.vtexassets.com/arquivos/ids/312381-170-170?v=638163243236830000&width=170&height=170&aspect=true,Carrefour,500.0,cc
Aceite de canola Carrefour sin gluten botella .,"$ 4.507,08",https://carrefourar.vtexassets.com/arquivos/ids/233082-170-170?v=637775203706070000&width=170&height=170&aspect=true,Carrefour,500.0,cc
Smart Tv Samsung  Uhd AU7000  UN,"$ 554.999,00",https://carrefourar.vtexassets.com/arquivos/ids/387931-170-170?v=638319509504470000&width=170&height=170&aspect=true,Carrefour,,
"Smart TV 32"" Noblex android HD DK","$ 299.999,00",https://carrefourar.vtexassets.com/arquivos/ids/308368-170-170?v=638144159738170000&width=170&height=170&aspect=true,Carrefour,32.0 x 7000.0,
"Smart TV UHD  65"" BGH Google TV B","$ 944.999,00",https://carrefourar.vtexassets.com/arquivos/ids/420667-170-170?v=638363544486370000&width=170&height=170&aspect=true,Carrefour,6.0,g
"Smart TV  UHD 55"" BGH Google TV B","$ 599.999,00",https://carrefourar.vtexassets.com/arquivos/ids/420673-170-170?v=638363544762370000&width=170&height=170&aspect=true,Carrefour,6.0,g
Smart Tv Samsung  Crystal UHD BU8000,"$ 1.749.999,00",https://carrefourar.vtexassets.com/arquivos/ids/387886-170-170?v=638319508204900000&width=170&height=170&aspect=true,Carrefour,,
Smart TV Samsung QLED Quantum Lite   HDR Q,"$ 1.319.999,00",https://carrefourar.vtexassets.com/arquivos/ids/427654-170-170?v=638387843097770000&width=170&height=170&aspect=true,Carrefour,,
